Sexo;Comunidades y Ciudades Autónomas;Tipo de sector;Periodo;Total
Ambos sexos;Total Nacional;Empleo público;2023T1;3.523,9
Ambos sexos;Total Nacional;Empleo público;2022T4;3.526,2
Ambos sexos;Total Nacional;Empleo público;2022T3;3.506,2
Ambos sexos;Total Nacional;Empleo público;2022T2;3.453,9
Ambos sexos;Total Nacional;Empleo público;2022T1;3.468,2
Ambos sexos;Total Nacional;Empleo público;2021T4;3.475,5
Ambos sexos;Total Nacional;Empleo público;2021T3;3.484,0
Ambos sexos;Total Nacional;Empleo público;2021T2;3.439,6
Ambos sexos;Total Nacional;Empleo público;2021T1;3.397,4
Ambos sexos;Total Nacional;Empleo público;2020T4;3.379,1
Ambos sexos;Total Nacional;Empleo público;2020T3;3.337,1
Ambos sexos;Total Nacional;Empleo público;2020T2;3.225,9
Ambos sexos;Total Nacional;Empleo público;2020T1;3.248,0
Ambos sexos;Total Nacional;Empleo público;2019T4;3.253,3
Ambos sexos;Total Nacional;Empleo público;2019T3;3.228,7
Ambos sexos;Total Nacional;Empleo público;2019T2;3.194,5
Ambos sexos;Total Nacional;Empleo público;2019T1;3.213,6
Ambos sexos;Total Nacional;Empleo público;2018T4;3.211,0
Ambos sexos;Total Nacional;Empleo público;2018T3;3.167,5
Ambos sexos;Total Nacional;Empleo público;2018T2;3.117,8
Ambos sexos;Total Nacional;Empleo público;2018T1;3.105,8
Ambos sexos;Total Nacional;Empleo público;2017T4;3.074,7
Ambos sexos;Total Nacional;Empleo público;2017T3;3.062,1
Ambos sexos;Total Nacional;Empleo público;2017T2;3.003,8
Ambos sexos;Total Nacional;Empleo público;2017T1;2.973,8
Ambos sexos;Total Nacional;Empleo público;2016T4;2.986,1
Ambos sexos;Total Nacional;Empleo público;2016T3;3.003,9
Ambos sexos;Total Nacional;Empleo público;2016T2;2.995,0
Ambos sexos;Total Nacional;Empleo público;2016T1;3.018,3
Ambos sexos;Total Nacional;Empleo público;2015T4;3.000,7
Ambos sexos;Total Nacional;Empleo público;2015T3;2.986,4
Ambos sexos;Total Nacional;Empleo público;2015T2;2.956,3
Ambos sexos;Total Nacional;Empleo público;2015T1;2.956,7
Ambos sexos;Total Nacional;Empleo público;2014T4;2.927,5
Ambos sexos;Total Nacional;Empleo público;2014T3;2.925,6
Ambos sexos;Total Nacional;Empleo público;2014T2;2.929,5
Ambos sexos;Total Nacional;Empleo público;2014T1;2.920,5
Ambos sexos;Total Nacional;Empleo público;2013T4;2.909,4
Ambos sexos;Total Nacional;Empleo público;2013T3;2.943,2
Ambos sexos;Total Nacional;Empleo público;2013T2;2.945,0
Ambos sexos;Total Nacional;Empleo público;2013T1;2.951,7
Ambos sexos;Total Nacional;Empleo público;2012T4;3.021,1
Ambos sexos;Total Nacional;Empleo público;2012T3;3.087,3
Ambos sexos;Total Nacional;Empleo público;2012T2;3.140,5
Ambos sexos;Total Nacional;Empleo público;2012T1;3.200,5
Ambos sexos;Total Nacional;Empleo público;2011T4;3.234,7
Ambos sexos;Total Nacional;Empleo público;2011T3;3.306,6
Ambos sexos;Total Nacional;Empleo público;2011T2;3.299,3
Ambos sexos;Total Nacional;Empleo público;2011T1;3.267,5
Ambos sexos;Total Nacional;Empleo público;2010T4;3.250,3
Ambos sexos;Total Nacional;Empleo público;2010T3;3.259,2
Ambos sexos;Total Nacional;Empleo público;2010T2;3.168,4
Ambos sexos;Total Nacional;Empleo público;2010T1;3.160,5
Ambos sexos;Total Nacional;Empleo público;2009T4;3.127,6
Ambos sexos;Total Nacional;Empleo público;2009T3;3.164,7
Ambos sexos;Total Nacional;Empleo público;2009T2;3.106,1
Ambos sexos;Total Nacional;Empleo público;2009T1;3.077,4
Ambos sexos;Total Nacional;Empleo público;2008T4;3.081,6
Ambos sexos;Total Nacional;Empleo público;2008T3;3.040,9
Ambos sexos;Total Nacional;Empleo público;2008T2;2.983,5
Ambos sexos;Total Nacional;Empleo público;2008T1;2.920,7
Ambos sexos;Total Nacional;Empleo público;2007T4;2.969,5
Ambos sexos;Total Nacional;Empleo público;2007T3;2.990,3
Ambos sexos;Total Nacional;Empleo público;2007T2;2.932,0
Ambos sexos;Total Nacional;Empleo público;2007T1;2.986,8
Ambos sexos;Total Nacional;Empleo público;2006T4;2.959,2
Ambos sexos;Total Nacional;Empleo público;2006T3;2.944,8
Ambos sexos;Total Nacional;Empleo público;2006T2;2.902,7
Ambos sexos;Total Nacional;Empleo público;2006T1;2.919,4
Ambos sexos;Total Nacional;Empleo público;2005T4;2.916,4
Ambos sexos;Total Nacional;Empleo público;2005T3;2.960,6
Ambos sexos;Total Nacional;Empleo público;2005T2;2.897,4
Ambos sexos;Total Nacional;Empleo público;2005T1;2.893,9
Ambos sexos;Total Nacional;Empleo público;2004T4;2.918,6
Ambos sexos;Total Nacional;Empleo público;2004T3;2.877,7
Ambos sexos;Total Nacional;Empleo público;2004T2;2.791,2
Ambos sexos;Total Nacional;Empleo público;2004T1;2.777,1
Ambos sexos;Total Nacional;Empleo público;2003T4;2.764,8
Ambos sexos;Total Nacional;Empleo público;2003T3;2.766,3
Ambos sexos;Total Nacional;Empleo público;2003T2;2.728,7
Ambos sexos;Total Nacional;Empleo público;2003T1;2.684,2
Ambos sexos;Total Nacional;Empleo público;2002T4;2.672,7
Ambos sexos;Total Nacional;Empleo público;2002T3;2.649,0
Ambos sexos;Total Nacional;Empleo público;2002T2;2.586,6
Ambos sexos;Total Nacional;Empleo público;2002T1;2.569,0
Ambos sexos;01 Andalucía;Empleo público;2023T1;633,6
Ambos sexos;01 Andalucía;Empleo público;2022T4;620,7
Ambos sexos;01 Andalucía;Empleo público;2022T3;621,5
Ambos sexos;01 Andalucía;Empleo público;2022T2;618,2
Ambos sexos;01 Andalucía;Empleo público;2022T1;599,1
Ambos sexos;01 Andalucía;Empleo público;2021T4;624,7
Ambos sexos;01 Andalucía;Empleo público;2021T3;607,5
Ambos sexos;01 Andalucía;Empleo público;2021T2;602,8
Ambos sexos;01 Andalucía;Empleo público;2021T1;583,1
Ambos sexos;01 Andalucía;Empleo público;2020T4;584,7
Ambos sexos;01 Andalucía;Empleo público;2020T3;569,1
Ambos sexos;01 Andalucía;Empleo público;2020T2;529,3
Ambos sexos;01 Andalucía;Empleo público;2020T1;540,2
Ambos sexos;01 Andalucía;Empleo público;2019T4;564,5
Ambos sexos;01 Andalucía;Empleo público;2019T3;571,1
Ambos sexos;01 Andalucía;Empleo público;2019T2;579,8
Ambos sexos;01 Andalucía;Empleo público;2019T1;569,6
Ambos sexos;01 Andalucía;Empleo público;2018T4;565,6
Ambos sexos;01 Andalucía;Empleo público;2018T3;584,1
Ambos sexos;01 Andalucía;Empleo público;2018T2;579,9
Ambos sexos;01 Andalucía;Empleo público;2018T1;570,4
Ambos sexos;01 Andalucía;Empleo público;2017T4;557,3
Ambos sexos;01 Andalucía;Empleo público;2017T3;566,8
Ambos sexos;01 Andalucía;Empleo público;2017T2;554,3
Ambos sexos;01 Andalucía;Empleo público;2017T1;545,0
Ambos sexos;01 Andalucía;Empleo público;2016T4;530,8
Ambos sexos;01 Andalucía;Empleo público;2016T3;537,2
Ambos sexos;01 Andalucía;Empleo público;2016T2;539,2
Ambos sexos;01 Andalucía;Empleo público;2016T1;557,5
Ambos sexos;01 Andalucía;Empleo público;2015T4;554,3
Ambos sexos;01 Andalucía;Empleo público;2015T3;543,7
Ambos sexos;01 Andalucía;Empleo público;2015T2;563,8
Ambos sexos;01 Andalucía;Empleo público;2015T1;551,8
Ambos sexos;01 Andalucía;Empleo público;2014T4;524,4
Ambos sexos;01 Andalucía;Empleo público;2014T3;513,8
Ambos sexos;01 Andalucía;Empleo público;2014T2;506,6
Ambos sexos;01 Andalucía;Empleo público;2014T1;507,4
Ambos sexos;01 Andalucía;Empleo público;2013T4;517,4
Ambos sexos;01 Andalucía;Empleo público;2013T3;520,7
Ambos sexos;01 Andalucía;Empleo público;2013T2;509,8
Ambos sexos;01 Andalucía;Empleo público;2013T1;508,2
Ambos sexos;01 Andalucía;Empleo público;2012T4;529,9
Ambos sexos;01 Andalucía;Empleo público;2012T3;547,7
Ambos sexos;01 Andalucía;Empleo público;2012T2;546,7
Ambos sexos;01 Andalucía;Empleo público;2012T1;565,7
Ambos sexos;01 Andalucía;Empleo público;2011T4;568,9
Ambos sexos;01 Andalucía;Empleo público;2011T3;584,5
Ambos sexos;01 Andalucía;Empleo público;2011T2;582,3
Ambos sexos;01 Andalucía;Empleo público;2011T1;569,3
Ambos sexos;01 Andalucía;Empleo público;2010T4;583,3
Ambos sexos;01 Andalucía;Empleo público;2010T3;597,1
Ambos sexos;01 Andalucía;Empleo público;2010T2;578,7
Ambos sexos;01 Andalucía;Empleo público;2010T1;571,6
Ambos sexos;01 Andalucía;Empleo público;2009T4;569,5
Ambos sexos;01 Andalucía;Empleo público;2009T3;571,7
Ambos sexos;01 Andalucía;Empleo público;2009T2;555,8
Ambos sexos;01 Andalucía;Empleo público;2009T1;545,3
Ambos sexos;01 Andalucía;Empleo público;2008T4;545,6
Ambos sexos;01 Andalucía;Empleo público;2008T3;526,5
Ambos sexos;01 Andalucía;Empleo público;2008T2;509,4
Ambos sexos;01 Andalucía;Empleo público;2008T1;517,8
Ambos sexos;01 Andalucía;Empleo público;2007T4;523,3
Ambos sexos;01 Andalucía;Empleo público;2007T3;513,5
Ambos sexos;01 Andalucía;Empleo público;2007T2;515,5
Ambos sexos;01 Andalucía;Empleo público;2007T1;528,5
Ambos sexos;01 Andalucía;Empleo público;2006T4;533,5
Ambos sexos;01 Andalucía;Empleo público;2006T3;526,7
Ambos sexos;01 Andalucía;Empleo público;2006T2;513,5
Ambos sexos;01 Andalucía;Empleo público;2006T1;529,4
Ambos sexos;01 Andalucía;Empleo público;2005T4;514,0
Ambos sexos;01 Andalucía;Empleo público;2005T3;536,8
Ambos sexos;01 Andalucía;Empleo público;2005T2;516,1
Ambos sexos;01 Andalucía;Empleo público;2005T1;520,1
Ambos sexos;01 Andalucía;Empleo público;2004T4;531,1
Ambos sexos;01 Andalucía;Empleo público;2004T3;533,8
Ambos sexos;01 Andalucía;Empleo público;2004T2;529,7
Ambos sexos;01 Andalucía;Empleo público;2004T1;533,4
Ambos sexos;01 Andalucía;Empleo público;2003T4;519,6
Ambos sexos;01 Andalucía;Empleo público;2003T3;535,9
Ambos sexos;01 Andalucía;Empleo público;2003T2;533,5
